ward,item,location,cost,year,category
26,Alley Resurfacing Menu,1501 N KEYSTONE AVE; N KEYSTONE AVE &  W LE MOYNE ST&W NORTH AVE &  N PULASKI RD,22789.49,2022,Alleys
26,Alley Resurfacing Menu,1508 N KOLIN AVE; N KOLIN AVE &  W LE MOYNE ST&W GRAND AVE &  N KOSTNER AVE,45772.14,2022,Alleys
26,Alley Resurfacing Menu,1700 N KEYSTONE AVE; W WABANSIA AVE &  N KARLOV AVE; W WABANSIA AVE &  N KEYSTONE AVE,51953.57,2022,Alleys
26,Alley Resurfacing Menu,1701 N TROY ST; N TROY ST &  W WABANSIA AVE&W BLOOMINGDALE AVE &  N ALBANY AVE,28934.54,2022,Alleys
26,Alley Resurfacing Menu,1701 N WHIPPLE ST; N WHIPPLE ST &  W BLOOMINGDALE AVE&W WABANSIA AVE &  N HUMBOLDT BLVD,38099.87,2022,Alleys
26,Alley Resurfacing Menu,1804 N HARDING AVE; N PULASKI RD &  W CORTLAND ST; N HARDING AVE &  W CORTLAND ST,46728.88,2022,Alleys
26,Alley Resurfacing Menu,3400 W ARMITAGE AVE; W ARMITAGE AVE &  N KIMBALL AVE&N ST LOUIS AVE &  W MCLEAN AVE,19853.23,2022,Alleys
26,Alley Resurfacing Menu,3800 W NORTH AVE; W NORTH AVE &  N AVERS AVE&N HAMLIN AVE &  W WABANSIA AVE,54882.99,2022,Alleys
26,Alley Resurfacing Menu,N ARTESIAN AVE &  W POTOMAC AVE&W HIRSCH ST &  N CAMPBELL AVE; 1300 N ARTESIAN AVE,44151.67,2022,Alleys
26,Alley Resurfacing Menu,N CENTRAL PARK AVE &  W HIRSCH ST&W LE MOYNE ST &  N MONTICELLO AVE; 1400 N CENTRAL PARK AVE,46103.96,2022,Alleys
26,Alley Resurfacing Menu,N KARLOV AVE &  W HIRSCH ST&W GRAND AVE &  N KEDVALE AVE; 1400 N KARLOV AVE,49478.76,2022,Alleys
26,Alley Resurfacing Menu,N KARLOV AVE &  W NORTH AVE&N KEYSTONE AVE &  W LE MOYNE ST; 1501 N KARLOV AVE,5921.33,2022,Alleys
26,Alley Resurfacing Menu,N SPRINGFIELD AVE &  W NORTH AVE&W LE MOYNE ST &  N AVERS AVE; 1501 N SPRINGFIELD AVE,51744.35,2022,Alleys
26,Alley Resurfacing Menu,W ARMITAGE AVE &  N DRAKE AVE&N CENTRAL PARK AVE &  W CORTLAND ST,73806.72,2022,Alleys
26,Alley Resurfacing Menu,W ARMITAGE AVE &  N ST LOUIS AVE&N DRAKE AVE &  W CORTLAND ST,79492.54,2022,Alleys
26,Alley Resurfacing Menu,W ARMITAGE AVE &  N ST LOUIS AVE&N DRAKE AVE &  W MCLEAN AVE; 3500 W ARMITAGE AVE,33456.93,2022,Alleys
26,Alley Resurfacing Menu,W DICKENS AVE &  N LAWNDALE AVE&N CENTRAL PARK AVE &  W MCLEAN AVE; 3615 W DICKENS AVE,46576.65,2022,Alleys
26,Alley Resurfacing Menu,W DIVISION ST &  N WASHTENAW AVE&N ROCKWELL ST &  W CRYSTAL ST,37231.65,2022,Alleys
26,Alley Resurfacing Menu,W EVERGREEN AVE &  N ST LOUIS AVE&N HOMAN AVE &  W POTOMAC AVE,53244.44,2022,Alleys
26,Alley Resurfacing Menu,W LE MOYNE ST &  N CENTRAL PARK AVE&N ST LOUIS AVE &  W BEACH AVE; 3501 W LE MOYNE ST,78935.83,2022,Alleys
26,Alley Resurfacing Menu,W NORTH AVE &  N KARLOV AVE&N KEDVALE AVE &  W PIERCE AVE; 4101 W NORTH AVE,36618.08,2022,Alleys
