ward,item,location,cost,year,category
42,Viaduct Improvement Menu,ON E NORTH WATER ST FROM N WABASH LOWER AVE (100 E) TO N NEW ST (350 E); ON E NORTH WATER LOWER ST FROM N MICHIGAN LOWER AVE (200 E) TO N ST CLAIR ST (230 E),244468.0,2024,Viaducts
42,Viaduct Improvement Menu,ON N WABASH LOWER AVE FROM E KINZIE ST (400 N) TO E ILLINOIS ST (500 N),3382.02,2024,Viaducts
43,Alley Resurfacing Menu,605 W ARMITAGE AVE; W ARMITAGE AVE & N LARRABEE ST&N HOWE ST & W WILLOW ST,11094.74,2024,Alleys
43,Sidewalk Menu,ON N LINCOLN AVE FROM W BELDEN AVE (2300 N) TO W WEBSTER AVE (2200 N); 2274 N LINCOLN AVE,22752.61,2024,Sidewalk Repair
43,Street Bump Outs Menu,N CLEVELAND AVE & W WISCONSIN ST,40254.47,2024,Pedestrian Infrastructure
43,Street Bump Outs Menu,N SEDGWICK ST & W EUGENIE ST,7146.01,2024,Pedestrian Infrastructure
43,Street Bump Outs Menu,N WELLS ST & W MENOMONEE ST,23493.92,2024,Pedestrian Infrastructure
43,Street Light Arterial Menu,ON W ARMITAGE AVE FROM N HALSTED ST (800 W) TO N BISSELL ST (930 W),600000.0,2024,Lighting
43,Street Light Arterial Menu,ON W FULLERTON AVE FROM N SHEFFIELD AVE (1000 W) TO N RACINE AVE (1200 W); ON N SHEFFIELD AVE FROM W BELDEN AVE (2300 N) TO W FULLERTON AVE (2400 N),60000.0,2024,Lighting
43,Street Light Residential Staggered Piggy Back Menu,ON N HUDSON AVE FROM W MENOMONEE ST (1800 N) TO W WISCONSIN ST (1900 N),172000.0,2024,Lighting
43,Street Light Residential Staggered Piggy Back Menu,ON N LAKEVIEW AVE FROM W FULLERTON PKWY (2400 N) TO W DEMING PL (2600 N),30000.0,2024,Lighting
43,Street Light Residential Staggered Piggy Back Menu,ON W WRIGHTWOOD AVE FROM N LAKEVIEW AVE (400 W) TO N CLARK ST (600 W),295206.91,2024,Lighting
44,ADA - Alley Resurfacing Menu,W BYRON ST & N LAKEWOOD AVE&N WAYNE AVE & W GRACE ST; 1311 W BYRON ST,10869.52,2024,Alleys
44,ADA - Alley Resurfacing Menu,W WAVELAND AVE & N LAKEWOOD AVE&N WAYNE AVE & W GRACE ST; 1314 W WAVELAND AVE,7245.0,2024,Alleys
44,Alley Apron Menu,1242 W WAVELAND AVE,21102.14,2024,Alleys
44,Alley Apron Menu,3014 N KENMORE AVE,16564.42,2024,Alleys
44,Alley Apron Menu,3014 N KENMORE AVE; 3015 N KENMORE AVE,27377.89,2024,Alleys
44,Alley Resurfacing Menu,529 W WELLINGTON AVE,8383.44,2024,Alleys
44,Alley Resurfacing Menu,N KENMORE AVE & W BARRY AVE&W BELMONT AVE & N SHEFFIELD AVE; 3131 N KENMORE AVE,21414.05,2024,Alleys
44,Alley Resurfacing Menu,N LAKEWOOD AVE & W GRACE ST&W WAVELAND AVE & N MAGNOLIA AVE,37575.01,2024,Alleys
