ward,year,item,location,cost,category
43,2025,Pavement Markings Menu,ON N SHEFFIELD AVE FROM 2720 N TO N LINCOLN AVE  (2600 N),3000.0,Street Redesign
43,2025,Sidewalk Menu,1134-1138 W SCHUBERT AVE,19130.2,Sidewalk Repair
43,2025,Sidewalk Menu,1301 N STATE PKWY,21430.92,Sidewalk Repair
43,2025,Sidewalk Menu,2121-2127 N BISSELL ST,10630.31,Sidewalk Repair
43,2025,Sidewalk Menu,2717 N HALSTED ST,21133.99,Sidewalk Repair
43,2025,Sidewalk Menu,424 W EUGENIE ST,81560.61,Sidewalk Repair
43,2025,Sidewalk Menu,515 W WRIGHTWOOD AVE,8681.12,Sidewalk Repair
43,2025,Sidewalk Menu,659 W ARMITAGE AVE,21300.96,Sidewalk Repair
43,2025,Sidewalk Menu,830 W ALTGELD ST,4520.95,Sidewalk Repair
43,2025,Sidewalk Menu,ON W WILLOW ST FROM 849 W TO N FREMONT ST  (900 W),15114.43,Sidewalk Repair
43,2025,Street Bump Outs Menu,N SHEFFIELD AVE &  W SCHUBERT AVE,32000.0,Pedestrian Infrastructure
43,2025,Street Bump Outs Menu,W BELDEN AVE &  N COMMONWEALTH AVE,28272.2,Pedestrian Infrastructure
43,2025,Street Light Upgrade Menu,2001 N MOHAWK ST,500.0,Lighting
43,2025,Street Resurfacing Menu,2200-2300 N LINCOLN PARK WEST,67603.13,Street Resurfacing
43,2025,Street Resurfacing Menu,ON N KENMORE AVE FROM N MAUD AVE  (1900 N) TO W ARMITAGE AVE  (2000 N),84631.42,Street Resurfacing
43,2025,Street Resurfacing Menu,ON N ST MICHAELS CT FROM W EUGENIE ST  (1700 N) TO W WILLOW ST  (1740 N),12673.24,Street Resurfacing
43,2025,Street Resurfacing Menu,ON W ARLINGTON PL FROM N LAKEVIEW AVE  (400 W) TO N CLARK ST  (500 W),41320.27,Street Resurfacing
43,2025,Street Resurfacing Menu,ON W BELDEN AVE FROM N CLARK ST  (410 W) TO N CLEVELAND AVE  (500 W),40835.09,Street Resurfacing
43,2025,Street Resurfacing Menu,ON W DEMING PL FROM N CLARK ST  (500 W) TO N ORCHARD ST  (700 W),97504.68,Street Resurfacing
43,2025,Street Resurfacing Menu,ON W EUGENIE ST FROM N HUDSON AVE  (440 W) TO N ST MICHAELS CT  (450 W),3611.22,Street Resurfacing
43,2025,Street Resurfacing Menu,ON W SCHUBERT AVE FROM N LINCOLN AVE  (1100 W) TO N RACINE AVE  (1200 W),44411.14,Street Resurfacing
43,2025,Street Resurfacing Menu,ON W WILLOW ST FROM N FERN CT  (420 W) TO N ST MICHAELS CT  (452 W),19365.4,Street Resurfacing
43,2025,Street Resurfacing Menu,ON W WRIGHTWOOD AVE FROM N LAKEVIEW AVE  (400 W) TO N PINE GROVE AVE  (430 W),28007.53,Street Resurfacing
43,2025,Street Resurfacing Menu,ON W WRIGHTWOOD AVE FROM N SEMINARY AVE  (1100 W) TO N RACINE AVE  (1200 W),69464.76,Street Resurfacing
43,2025,Street Speed Hump Menu,ON N MOHAWK ST FROM W ARMITAGE AVE  (2000 N) TO W DICKENS AVE  (2100 N),4880.0,Street Resurfacing
44,2025,Alley Resurfacing Menu,N CAMBRIDGE AVE &  W BRIAR PL&W BELMONT AVE &  N PINE GROVE AVE; 3167 N CAMBRIDGE AVE,25488.26,Alleys
44,2025,Alley Resurfacing Menu,N COMMONWEALTH AVE &  W SURF ST&W OAKDALE AVE &  N SHERIDAN RD,19652.72,Alleys
44,2025,Alley Resurfacing Menu,N JANSSEN AVE &  W CORNELIA AVE&W ADDISON ST &  N SOUTHPORT AVE,21458.56,Alleys
44,2025,Alley Resurfacing Menu,N LAKEWOOD AVE &  W HENDERSON ST&W SCHOOL ST &  N RACINE AVE,15172.15,Alleys
44,2025,Alley Resurfacing Menu,W BUCKINGHAM PL &  N HALSTED ST&N CLARK ST &  W ALDINE AVE,24936.7,Alleys
44,2025,Alley Resurfacing Menu,W SCHOOL ST &  N LAKEWOOD AVE&N RACINE AVE &  W MELROSE ST,41587.43,Alleys
44,2025,Alley Speed Hump Menu,N BROADWAY &  W ALDINE AVE&W MELROSE ST &  N HALSTED ST,725.0,Alleys
44,2025,Alley Speed Hump Replacement,N CAMBRIDGE AVE &  W BRIAR PL&W BELMONT AVE &  N PINE GROVE AVE; 3167 N CAMBRIDGE AVE,0.0,Alleys
44,2025,Alley Speed Hump Replacement,W SCHOOL ST &  N LAKEWOOD AVE&N RACINE AVE &  W MELROSE ST,0.0,Alleys
44,2025,Bollard Menu,W ROSCOE ST &  N LAKE SHORE DR,18865.46,Pedestrian Infrastructure
44,2025,Curb & Gutter Menu,1225 W EDDY ST,16934.3,Street Resurfacing
44,2025,Curb & Gutter Menu,829-837 W NEWPORT AVE,68858.16,Street Resurfacing
44,2025,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,N CLARK ST &  W WELLINGTON AVE,75129.66,Pedestrian Infrastructure
44,2025,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,N HALSTED ST &  W WELLINGTON AVE,87104.82,Pedestrian Infrastructure
44,2025,Miscellaneous Other Projects,600 W WELLINGTON AVE,660.0,Misc.
44,2025,Pavement Markings Menu,W BARRY AVE &  N CLARK ST,4000.0,Street Redesign
44,2025,Speed Indicator Signs,W ADDISON ST &  N FREMONT ST,38000.0,Traffic Signals
44,2025,Street Bump Outs Menu,N SEMINARY AVE &  W CORNELIA AVE,20000.0,Pedestrian Infrastructure
44,2025,Street Bump Outs Menu,W OAKDALE AVE &  N LAKE SHORE DR,20000.0,Pedestrian Infrastructure
44,2025,Street Light Residential Staggered Piggy Back Menu,ON N SOUTHPORT AVE FROM W HENDERSON ST  (3331 N) TO W GRACE ST  (3801 N),582531.07,Lighting
44,2025,Street Resurfacing Menu,ON N PINE GROVE AVE FROM W DIVERSEY PKWY  (2800 N) TO W SURF ST  (2900 N),44829.93,Street Resurfacing
44,2025,Street Resurfacing Menu,ON W BRIAR PL FROM N SHERIDAN RD  (400 W) TO N BROADWAY  (600 W),121730.81,Street Resurfacing
44,2025,Street Resurfacing Menu,ON W CORNELIA AVE FROM N RACINE AVE  (1200 W) TO N LAKEWOOD AVE  (1300 W),53622.0,Street Resurfacing
44,2025,Street Resurfacing Menu,ON W HAWTHORNE PL FROM N LAKE SHORE DR  (500 W) TO N BROADWAY  (599 W),93832.96,Street Resurfacing
44,2025,Street Speed Hump Menu,ON N WAYNE AVE FROM W GRACE ST  (3800 N) TO W BYRON ST  (3900 N),4880.0,Street Resurfacing
44,2025,Street Speed Hump Replacement,ON W BRIAR PL FROM N SHERIDAN RD  (400 W) TO N BROADWAY  (600 W),0.0,Street Resurfacing
45,2025,Alley Resurfacing Menu,N MULLIGAN AVE &  W BRYN MAWR AVE&W BRYN MAWR AVE &  N AVONDALE AVE; 5621 N MULLIGAN AVE,9429.39,Alleys
45,2025,Street Resurfacing Menu,ON N ALGONQUIN AVE FROM N CALDWELL AVE  (6430 N) TO N LEHIGH AVE  (6458 N),36247.11,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N CHICORA AVE FROM N CALDWELL AVE  (6530 N) TO N LEOTI AVE  (6630 N),57008.19,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N HIAWATHA AVE FROM N CENTRAL AVE  (6540 N) TO N KINZUA AVE  (6700 N),137476.16,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N LEAMINGTON AVE FROM W LELAND AVE  (4700 N) TO N AVONDALE AVE  (4770 N),31854.99,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N LECLAIRE AVE FROM N ELSTON AVE  (5300 N) TO W FOSTER AVE  (5200 N),75600.93,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N LORON AVE FROM N CALDWELL AVE  (6620 N) TO N HIAWATHA AVE  (6800 N),117237.97,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N LOWELL AVE FROM 4125 N TO W IRVING PARK RD  (4000 N),87365.91,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N LUDLAM AVE FROM N LORING AVE  (5230 N) TO N LIND AVE  (5300 N),58159.08,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N LYNCH AVE FROM W BERWYN AVE  (5310 N) TO N LARNED AVE  (5410 N); ON N LORINGAVE FROM W FARRAGUT AVE  (5230 N) TO N LYNCH AVE  (5300 N); ON N LYNCH AVE FROM N LORING AVE  (5300 N) TO N LARNED AVE  (5410 N),175984.18,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N MANILA AVE FROM N MAGNET AVE  (5400 N) TO N MILWAUKEE AVE  (5400 N),3339.42,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N MCALPIN AVE FROM N LEOTI AVE  (7000 N) TO N TAHOMA AVE  (7030 N),30155.98,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N MELVINA AVE FROM W FOSTER AVE  (5200 N) TO W BERWYN AVE  (5300 N),61811.48,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N MENARD AVE FROM W LAWRENCE AVE  (4800 N) TO W EASTWOOD AVE  (4630 N),103439.69,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N MONON AVE FROM N SIOUX AVE  (7030 N) TO N IONIA AVE  (7110 N),65735.85,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N NEOLA AVE FROM N NASSAU AVE  (6160 N) TO W RAVEN ST  (6200 N),32427.67,Street Resurfacing
45,2025,Street Resurfacing Menu,ON N PARKSIDE AVE FROM W SEMINOLE ST  (5700 N) TO N ELSTON AVE  (5730 N),22577.46,Street Resurfacing
45,2025,Street Resurfacing Menu,ON W AINSLIE ST FROM N LECLAIRE AVE  (5100 W) TO N LARAMIE AVE  (5199 W),73986.16,Street Resurfacing
45,2025,Street Resurfacing Menu,ON W AINSLIE ST FROM N MAJOR AVE  (5700 W) TO N MENARD AVE  (5820 W),88692.58,Street Resurfacing
45,2025,Street Resurfacing Menu,ON W CARMEN AVE FROM N LONG AVE  (5400 W) TO N LOCKWOOD AVE  (5300 W),24651.37,Street Resurfacing
45,2025,Street Resurfacing Menu,ON W CARMEN AVE FROM N LONG AVE  (5400 W) TO N LOVEJOY AVE  (5440 W),44566.41,Street Resurfacing
45,2025,Street Resurfacing Menu,ON W GIDDINGS ST FROM N CENTRAL AVE  (5600 W) TO N MAJOR AVE  (5700 W),58507.41,Street Resurfacing
45,2025,Street Resurfacing Menu,ON W GUNNISON ST FROM N MASON AVE  (5930 W) TO N AUSTIN AVE  (5999 W),33328.31,Street Resurfacing
45,2025,Street Resurfacing Menu,ON W PENSACOLA AVE FROM N LARAMIE AVE  (5200 W) TO N LOCKWOOD AVE  (5300 W),55701.29,Street Resurfacing
45,2025,Street Speed Hump Menu,ON N LEAMINGTON AVE FROM W WILSON AVE  (4600 N) TO W LELAND AVE  (4700 N),4880.0,Street Resurfacing
45,2025,Street Speed Hump Menu,ON N NORTHWEST HWY FROM N LONG AVE  (5000 N) TO W CARMEN AVE  (5099 N),75.0,Street Resurfacing
45,2025,Street Speed Hump Menu,ON W AINSLIE ST FROM N CICERO AVE  (4800 W) TO N LAVERGNE AVE  (5000 W),4880.0,Street Resurfacing
45,2025,Street Speed Hump Menu,ON W BYRON ST FROM N KILPATRICK AVE  (4700 W) TO N CICERO AVE  (4800 W),4880.0,Street Resurfacing
45,2025,Street Speed Hump Replacement,ON N LECLAIRE AVE FROM N ELSTON AVE  (5300 N) TO W FOSTER AVE  (5200 N),0.0,Street Resurfacing
45,2025,Street Speed Hump Replacement,ON N MENARD AVE FROM W LAWRENCE AVE  (4800 N) TO W EASTWOOD AVE  (4630 N),0.0,Street Resurfacing
45,2025,Street Speed Hump Replacement,ON W AINSLIE ST FROM N LECLAIRE AVE  (5100 W) TO N LARAMIE AVE  (5199 W),0.0,Street Resurfacing
45,2025,Street Speed Hump Replacement,ON W CARMEN AVE FROM N LONG AVE  (5400 W) TO N LOCKWOOD AVE  (5300 W),0.0,Street Resurfacing
45,2025,Street Speed Hump Replacement,ON W PENSACOLA AVE FROM N LARAMIE AVE  (5200 W) TO N LOCKWOOD AVE  (5300 W),0.0,Street Resurfacing
46,2025,Alley Speed Hump Menu,900 W MONTROSE AVE; W MONTROSE AVE &  N HAZEL ST&N SHERIDAN RD &  W AGATITE AVE; 913 W AGATITE AVE,1450.0,Alleys
46,2025,Curb & Gutter Menu,3801 N PINE GROVE AVE; W GRACE ST &  N PINE GROVE AVE,17097.18,Street Resurfacing
46,2025,Miscellaneous CDOT Projects,739 W BROMPTON AVE,660.0,Misc. CDOT
46,2025,Miscellaneous CDOT Projects,N LAKE SHORE DR &  W GRACE ST; 3750 N LAKE SHORE DR,4000.0,Misc. CDOT
46,2025,Miscellaneous CDOT Projects,N MARINE DR &  W WILSON AVE,4000.0,Misc. CDOT
46,2025,Sidewalk Menu,1002 W BUENA AVE,49024.83,Sidewalk Repair
46,2025,Sidewalk Menu,1024-1026 W BUENA AVE,74001.17,Sidewalk Repair
46,2025,Sidewalk Menu,1060 W LAWRENCE AVE,37069.82,Sidewalk Repair
46,2025,Sidewalk Menu,1200 W MONTROSE AVE; W MONTROSE AVE &  N MAGNOLIA AVE,20518.41,Sidewalk Repair
46,2025,Sidewalk Menu,1227 W LELAND AVE,30411.21,Sidewalk Repair
46,2025,Sidewalk Menu,1249-1255 W WILSON AVE,24583.03,Sidewalk Repair
46,2025,Sidewalk Menu,1321 W WILSON AVE,18213.26,Sidewalk Repair
