,ward,type,location,year,est_cost,id,point_location,lat,long,query
11127,39,Floodlight Menu,W CARMEN AVE & N SPAULDING AVE ON & N KENTON AVE FROM & W SUNNYSIDE AVE (4500 N) TO,2013,1200.0,31680,W CARMEN AVE & N SPAULDING AVE ON & N KENTON AVE FROM & W SUNNYSIDE AVE (4500 N) TO,,,google
11640,41,Miscellaneous-CDOT,W Nordica between Gunnison & 1 st Alley,2006,6721.0,32795,W Nordica between Gunnison & 1 st Alley,,,google
11676,47,Curb/Gutter Menu,W PATTERSON AVEDead End (4652 W)Dead End (4521 W),2011,90.0,37639,W PATTERSON AVEDead End (4652 W)Dead End (4521 W),,,google
11888,4,Miscellaneous-CDOT,Woodlawn to Harper,2007,47200.0,3085,Woodlawn to Harper,,,google
11889,9,High Definition Camera,,2012,1559.0,6611,,,,
11890,9,High Definition Camera,,2013,20941.0,6629,,,,
11891,9,High Definition Camera,,2013,22500.0,6630,,,,
11892,10,High Definition Camera,,2013,22500.0,7654,,,,
11893,22,POD Camera,,2011,740000.0,17589,,,,
11894,48,High Definition Camera,,2012,22500.0,38594,,,,
