,ward,type,location,year,est_cost,id,start_location,end_location,lat_1,lon_1,query_1,lat_2,lon_2,query_2
18999,24,Street Resurfacing Menu,ON W 15TH ST FROM S KARLOV AV (4100 W) TO S KEDVALE AV (4132 W) ON W TAYLOR ST FROM S KEELER AV (4200 W) TO S,2013,19029.0,19646,W 15TH ST FROM S KARLOV AV (4100 W) TO S KEDVALE AV (4132 W) ON W TAYLOR ST and S KARLOV AV TO S KEDVALE AV ON W TAYLOR ST FROM S KEELER AV,W 15TH ST FROM S KARLOV AV (4100 W) TO S KEDVALE AV (4132 W) ON W TAYLOR ST and S KEDVALE AV ON W TAYLOR ST FROM S KEELER AV TO S,41.8694301,-87.6432576,google,,,google
19064,24,Street Resurfacing Menu,ON W 18TH ST FROM 3650 W TO S LAWNDALE AVE (3700 W),2021,13062.97,19903,3650 W 18TH ST,W 18TH ST and S LAWNDALE AVE,,,census,41.8571196,-87.7176049,google
19140,25,Pole Painting,W 21 ST-- S CARPENTER ST (1040 W) -to- Dead End (2966 W),2005,400.0,20013,W 21st ST AND S CARPENTER ST,W 21st ST AND Dead End,41.8538574,-87.6530921,google,,,google
19181,12,Street Speed Hump Menu,W 22 PL-- S CALIFORNIA AV (2800 W) -to- Dead End (2866 W) 2,2008,3500.0,9059,W 22nd PL AND S CALIFORNIA AV,W 22nd PL AND Dead End,41.8509944,-87.6954138,google,,,google
19291,25,Street Resurface Menu,W 24 PL-- S WESTERN AV (2400 W) -to- VIADUCT (2450 W),2005,22179.0,19991,W 24th PL AND S WESTERN AV,W 24th PL AND VIADUCT,41.8474985,-87.685513,google,,,google
19292,12,Street Resurface Menu,W 24 ST-- S SACRAMENTO AV (3000 W) -to- Dead End (74 W),2006,8702.0,8899,W 24th ST AND S SACRAMENTO AV,W 24th ST AND Dead End,41.8481967,-87.7002346,google,,,google
19307,24,Sidewalk Menu,ON W 24TH ST FROM 2512 W TO S ROCKWELL ST (2600 W),2019,14949.655,41626,2512 W 24TH ST,W 24TH ST and S ROCKWELL ST,,,census,41.84743,-87.6903787,google
19524,12,Street Resurfacing Menu (1-5),ON W 37TH PL FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2016,81723.36,9413,W 37TH PL and S SACRAMENTO AVE,W 37TH PL and AVE TO S KEDZIE AVE,41.8253565,-87.6995719,google,,,google
19525,12,Sidewalk Menu,W 37 PL-- S SACRAMENTO AV (3000 W) -to- Dead End (3218 W),2005,24154.0,8839,W 37th PL AND S SACRAMENTO AV,W 37th PL AND Dead End,41.8253565,-87.6995719,google,,,google
19526,12,Street Bump Outs Menu,W 37 PL-- S SPAULDING AV (3300 W) -to- Dead End (3417 W),2009,8926.0,9085,W 37th PL AND S SPAULDING AV,W 37th PL AND Dead End,41.8252764,-87.7069069,google,,,google
19607,12,Curb/Gutter Menu,W 42 ST-- Dead End (2273 W) -to- S CAMPBELL AV (2500 W),2009,67869.0,9071,W 42nd ST AND Dead End,W 42nd ST AND S CAMPBELL AV,,,google,41.8174783,-87.6871705,google
19638,12,Sidewalk Menu,W 43 ST-- Dead End (4618 W) -to- W POPE JOHN PAUL II DR (2416 W),2009,1121.0,9081,W 43rd ST AND Dead End,W 43rd ST AND W POPE JOHN PAUL II DR,,,google,41.8154285,-87.7042633,google
19641,11,Street Resurface Menu,W 44 PL-- Dead End (466 W) -to- S WALLACE ST (600 W),2009,64455.0,8246,W 44th PL AND Dead End,W 44th PL AND S WALLACE ST,,,google,41.8135129,-87.640792,google
